"Student Counts by District and Year"
"All Districts"
"2008-09"

"District","District Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""",261
"Amistad Academy District","=""2790013""",641
"Andover School District","=""0010011""",334
"Ansonia School District","=""0020011""",2722
"Area Cooperative Educational Services","=""2440014""",2098
"Ashford School District","=""0030011""",488
"Avon School District","=""0040011""",3569
"Barkhamsted School District","=""0050011""",362
"Berlin School District","=""0070011""",3223
"Bethany School District","=""0080011""",551
"Bethel School District","=""0090011""",3087
"Bloomfield School District","=""0110011""",2181
"Bolton School District","=""0120011""",869
"Bozrah School District","=""0130011""",261
"Branford School District","=""0140011""",3515
"Bridgeport Achievement First District","=""2850013""",160
"Bridgeport School District","=""0150011""",20596
"Bristol School District","=""0170011""",8866
"Brookfield School District","=""0180011""",2952
"Brooklyn School District","=""0190011""",987
"Canaan School District","=""0210011""",85
"Canterbury School District","=""0220011""",605
"Canton School District","=""0230011""",1761
"Capitol Region Education Council","=""2410014""",3436
"Chaplin School District","=""0240011""",178
"Charter School for Young Children on Asylum Hill District","=""2870013""",136
"Cheshire School District","=""0250011""",5032
"Chester School District","=""0260011""",319
"Clinton School District","=""0270011""",2091
"Colchester School District","=""0280011""",3197
"Colebrook School District","=""0290011""",116
"Columbia School District","=""0300011""",579
"Common Ground High School District","=""2680013""",155
"Connecticut Technical Education and Career System","=""9000016""",10257
"Cooperative Educational Services","=""2430014""",754
"Cornwall School District","=""0310011""",122
"Coventry School District","=""0320011""",1962
"Cromwell School District","=""0330011""",2029
"Danbury School District","=""0340011""",10350
"Darien School District","=""0350011""",4732
"Deep River School District","=""0360011""",355
"Department of Mental Health and Addiction Services","=""3370015""",8
"Derby School District","=""0370011""",1489
"East Granby School District","=""0400011""",900
"East Haddam School District","=""0410011""",1437
"East Hampton School District","=""0420011""",2064
"East Hartford School District","=""0430011""",7264
"East Haven School District","=""0440011""",3599
"East Lyme School District","=""0450011""",3169
"East Windsor School District","=""0470011""",1452
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",147
"Eastford School District","=""0390011""",187
"Easton School District","=""0460011""",1158
"EdAdvance","=""2420014""",194
"Ellington School District","=""0480011""",2645
"Elm City College Preparatory School","=""2810013""",509
"Enfield School District","=""0490011""",6314
"Essex School District","=""0500011""",594
"Explorations District","=""2720013""",85
"Fairfield School District","=""0510011""",9975
"Farmington School District","=""0520011""",4206
"Franklin School District","=""0530011""",226
"Glastonbury School District","=""0540011""",6883
"Granby School District","=""0560011""",2281
"Greenwich School District","=""0570011""",8893
"Griswold School District","=""0580011""",2123
"Groton School District","=""0590011""",5172
"Guilford School District","=""0600011""",3796
"Hamden School District","=""0620011""",6118
"Hampton School District","=""0630011""",149
"Hartford School District","=""0640011""",21956
"Hartland School District","=""0650011""",239
"Hebron School District","=""0670011""",1173
"Highville Charter School District","=""2860013""",300
"Integrated Day Charter School District","=""2640013""",330
"Interdistrict School for Arts and Comm District","=""2650013""",182
"Jumoke Academy District","=""2610013""",412
"Kent School District","=""0680011""",284
"Killingly School District","=""0690011""",2724
"Learn","=""2450014""",1037
"Lebanon School District","=""0710011""",1547
"Ledyard School District","=""0720011""",2761
"Lisbon School District","=""0730011""",564
"Litchfield School District","=""0740011""",1203
"Madison School District","=""0760011""",3740
"Manchester School District","=""0770011""",6936
"Mansfield School District","=""0780011""",1285
"Marlborough School District","=""0790011""",676
"Meriden School District","=""0800011""",8719
"Middletown School District","=""0830011""",5189
"Milford School District","=""0840011""",7326
"Monroe School District","=""0850011""",4050
"Montville School District","=""0860011""",2784
"Naugatuck School District","=""0880011""",4832
"New Beginnings Inc Family Academy District","=""2800013""",358
"New Britain School District","=""0890011""",10496
"New Canaan School District","=""0900011""",4104
"New Fairfield School District","=""0910011""",3056
"New Hartford School District","=""0920011""",620
"New Haven School District","=""0930011""",19848
"New London School District","=""0950011""",3105
"New Milford School District","=""0960011""",4922
"Newington School District","=""0940011""",4533
"Newtown School District","=""0970011""",5612
"Norfolk School District","=""0980011""",157
"North Branford School District","=""0990011""",2401
"North Canaan School District","=""1000011""",338
"North Haven School District","=""1010011""",3836
"North Stonington School District","=""1020011""",794
"Norwalk School District","=""1030011""",10842
"Norwich Free Academy District","=""9010022""",2488
"Norwich School District","=""1040011""",4004
"Odyssey Community School District","=""2630013""",178
"Old Saybrook School District","=""1060011""",1628
"Orange School District","=""1070011""",1320
"Oxford School District","=""1080011""",2027
"Park City Prep Charter School District","=""2830013""",224
"Plainfield School District","=""1090011""",2720
"Plainville School District","=""1100011""",2542
"Plymouth School District","=""1110011""",1864
"Pomfret School District","=""1120011""",545
"Portland School District","=""1130011""",1432
"Preston School District","=""1140011""",494
"Putnam School District","=""1160011""",1254
"Redding School District","=""1170011""",1304
"Regional School District 01","=""2010012""",563
"Regional School District 04","=""2040012""",959
"Regional School District 05","=""2050012""",2504
"Regional School District 06","=""2060012""",1084
"Regional School District 07","=""2070012""",1197
"Regional School District 08","=""2080012""",1759
"Regional School District 09","=""2090012""",967
"Regional School District 10","=""2100012""",2862
"Regional School District 11","=""2110012""",318
"Regional School District 12","=""2120012""",1014
"Regional School District 13","=""2130012""",2143
"Regional School District 14","=""2140012""",2142
"Regional School District 15","=""2150012""",4559
"Regional School District 16","=""2160012""",2618
"Regional School District 17","=""2170012""",2547
