"FTE Staffing Report for 2001-02"

"District","Assignment Category","Educator Type","FTE Count"
"Amistad Academy District","General Education - Paraprofessional Instructional Assistants","Non-Certified",1.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",0.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.5
="Andover School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.1
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.2
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",18.0
="Ansonia School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.1
,="Library/Media - Support Staff",="Non-Certified",5.0
,="School Nurses",="Non-Certified",4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",18.3
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",61.7
="Area Cooperative Educational Services",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.3
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",3.4
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",46.8
="Ashford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",1.2
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.0
="Avon School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.5
,="Library/Media - Support Staff",="Non-Certified",6.0
,="School Nurses",="Non-Certified",4.3
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",23.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",99.0
="Barkhamsted School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.9
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.7
="Berlin School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",14.9
,="Library/Media - Support Staff",="Non-Certified",5.0
,="School Nurses",="Non-Certified",6.0
