"FTE Staffing Report for 2008-09"

"District","Assignment Category","Educator Type","FTE Count"
"State of Connecticut","Administrators  Coordinators and Department Chairs - District Central Office","Certified",909.1
,="Administrators  Coordinators and Department Chairs - School Level",="Certified",2438.8
,="Counselors  Social Workers  and School Psychologists",="Certified",3156.3
,="General Education - Teachers and Instructors",="Certified",37326.7
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4426.5
,="Instructional Specialists Who Support Teachers",="Certified",1919.2
,="Library/Media - Specialists (Certified)",="Certified",817.2
,="Library/Media - Support Staff",="Non-Certified",695.9
,="School Nurses",="Non-Certified",1189.4
,="Special Education - Teachers and Instructors",="Certified",5816.6
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8237.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23975.5

