Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,Population,Moody's_Bond_Ratings,area lmt,ACGLFY,EGL,TANF Recipients,empl,ACMR,enrollmt,RPA Identifier
ANDOVER,KE,2007,1,1,T,6267423,1218760,7681327,2760235,2438728,7653190,10400028,7507964,253133,9291904,12641,12641,189666,189666,931099,-529852,931099,0,5355433.17,1540926,6896359.17,67557,0,612051,Y,544494,N,N,7560022,7477090,0.989030190652884,7749426,7623479,0.983747570465219,3181,A3,15.45,177097532,411321603.97,4,0.034271099744245,41.3,645.4,Capital Region COG
ANSONIA,KE,2007,2,2,NH,27000343,27026325,54034897,-1292965,24511137,25391667,53732113,29660930,8506553,52816370,0,0,0,0,915743,265223,915743,0,,35390058,35390058,1279283,472157,6833293,Y,5554010,N,N,26051162,25172294,0.96626376973127,27579624,25641097,0.929711623334676,18550,A3,6.03,803305236,1738906846.99,389,0.056261343012704,32.299999999999997,2831.14,Valley COG
ASHFORD,KE,2007,3,3,W,9568225,3776726,14025685,552903,4629417,8033841,13390922,9971001,623443,12888049,614805,655510,300685,300685,816993,162946,857698,0,4239072,5111536,9350608,589731,0,3189550,N,2599819,N,N,7990034,7858270,0.983508956282289,8258511,7946103,0.96217138900705,4453,A2,38.799999999999997,240875408,502064701.13,18,0.038579067990833,33,759.63,Windham Region COG
AVON,VR,2007,4,4,H,86386400,15331611,101718011,5390527,4265347,54940024,62365447,38966040,4575704,60098481,0,0,2796240,2796240,-529274,-259393,-529274,0,,18785000,18785000,17118,245000,3777433,N,3760315,N,N,54780632,54676535,0.998099748100752,54859950,54710689,0.997279235580783,17333,Aaa,23.12,2187594990,3909626628.35,8,0.030117852466172,24.85,3511.67,Capital Region COG
BARKHAMSTED,VR,2007,5,5,L,3984233,3207797,7192030,840084,1718189,7913331,9952079,7767269,247800,9682000,0,0,477036,477036,-206957,222085,-206957,0,2347503.81,420000,2767503.81,35517,500000,1682115,N,1646598,N,N,7884337,7764219,0.984764984043681,8158612,7861723,0.963610354310268,3665,A2,36.22,293631480,528656686.5,7,0.040164308534916,26.7,666.72,Litchfield Hills Cncl of Elected Ofcls
BEACON FALLS,KE,2007,6,6,NH,6369331,2516981,9555624,-40905,4072234,11680039,15983969,11089390,335193,16157980,155000,204762,0,0,-19011,128877,30751,0,11626951.63,3387321,15014272.63,0,0,1211252,N,1211252,N,N,11036797,10718821,0.971189467378987,11968681,11045758,0.92288849539895,5770,,9.77,320477264,785305285.39,16,0.044068819800785,34.06,1035.83,COG of Central Naugatuck Valley
BERLIN,KE,2007,7,7,H,59854926,18597437,78606020,5464095,9291106,48565796,64085370,37095815,2819982,62204634,185643,185643,750493,750493,1315886,1567393,1315886,0,,9860000,9860000,0,1300000,9170925,N,9170925,N,N,48323207,47880413,0.990836825047642,49447786,48477983,0.980387332205329,20254,Aa3,26.45,1663795166,3194876776.48,26,0.03749557835161,28.74,3322.87,Central CT RPA
BETHANY,VR,2007,8,8,NH,17537911,4080391,21618302,329658,2146915,14840441,18440138,13332507,3769140,17747299,0,0,350100,350100,342739,656476,342739,0,12208837.51,8161624,20370461.51,250000,0,3086258,N,2836258,N,N,14712741,14550047,0.988941965334671,14991008,14700698,0.980634390962903,5566,A1,20.96,518280107,964392268.3,8,0.034846547314578,28.21,1078.67,South Central Regional COG
BETHEL,VR,2007,9,9,F,45591122,-94775,54799432,1793671,10468243,44990513,57255342,36050621,4146715,56162029,0,0,554755,554755,538558,-617111,538558,0,,23730115,23730115,991628,0,6251892,N,5260264,Y,N,44581196,44094785,0.989089323669109,45335820,44511291,0.981812857912353,18514,Aa3,16.79,1613614119,3295424221.16,36,0.032876967495576,27.75,3231.5,Housatonic Council of Elected Ofcls
BETHLEHEM,VR,2007,10,10,L,3921547,1505289,5426836,646788,1441614,7767811,9616589,6841120,169499,9050967,8735,8735,466628,466628,107729,-25885,107729,0,2101489.51,468092,2569581.51,0,150000,492406,N,492406,N,N,7675166,7528995,0.980955330477543,7963817,7692237,0.965898262102206,3549,,19.36,351599618,638595096.33,3,0.037369207772795,21.82,566.82000000000005,COG of Central Naugatuck Valley
BLOOMFIELD,VR,2007,11,11,H,41966546,-11742779,33315343,-888400,9118469,54031566,68045506,36494139,1855545,65006619,0,0,1764135,1764135,1274752,523978,1274752,0,,17518388,17518388,163136,0,5268931,N,5105795,N,N,53838811,52709474,0.979023738098525,55322326,53498235,0.96702794094377,20693,Aa2,26.01,1715559377,3018109847.03,169,0.052505490117788,32.5,2700.61,Capital Region COG
BOLTON,VR,2007,12,12,T,12157240,4353093,18071677,559503,4053413,11930071,16717158,11395676,942885,15920098,0,0,364256,364256,432804,-75253,432804,0,,5083000,5083000,174117,740480,1433688,Y,1259571,N,N,11881057,11772278,0.990844333126253,12056665,11868851,0.98442239209599,5116,A2,14.41,388014125,687955444.58,19,0.031946755407654,30.52,921.26,Capital Region COG
BOZRAH,KE,2007,13,13,NL,3740664,2512104,6462768,1096739,2273793,4642084,7315470,4439958,358505,7035994,40000,405000,0,0,319476,296899,684476,0,,2253334,2253334,30688,0,1027903,N,997215,N,N,4632080,4515691,0.974873275072969,4834042,4588623,0.9492310989437,2444,Baa1,19.96,183326253,397447711.06,4,0.045547246770904,25,391.13,Southeastern CT COG
BRANFORD,KE,2007,14,14,NH,80923813,28730429,109916059,4554650,6989557,72110546,86362652,45013856,6905303,81058201,100000,100000,3854090,3854090,1550361,993294,1550361,0,,53161247,53161247,376475,0,16615004,N,16238529,N,N,71202198,70434512,0.989218226100267,73486127,71202580,0.968925468068279,28984,Aa2,21.99,3271334991,5672083833.38,94,0.039155403445676,21.76,3650.43,South Central Regional COG
BRIDGEPORT,KE,2007,15,15,F,209090671,-168193991,44057892,64738897,203566550,228593633,461411919,211764417,65431539,461485340,500000,500000,0,0,426579,-5623439,426579,0,,716803247,716803247,0,0,29241106,N,29241106,N,Y,224126241,215656891,0.96221169836155,260365946,219393391,0.842634739183595,136695,Baa1,16,5329363911,11612526333.41,4059,0.071144776794367,42.28,22224.65,Greater Bridgeport RPA
BRIDGEWATER,VR,2007,16,16,L,2826681,4880971,8650456,841694,184356,6148622,6762439,4519993,5271,6247824,0,0,616100,616100,-101485,117457,-101485,0,606384.99,0,606384.99,0,175000,1269118,N,1269118,N,N,6172170,6138846,0.994600926416479,6267646,6150896,0.981372591878993,1884,,16.23,315814429,635975455.57,0,0.03000968054211,19.5,256.79000000000002,Housatonic Council of Elected Ofcls
BRISTOL,VR,2007,17,17,H,200700000,51656000,252766000,8946000,53364000,103802000,165267000,87131000,6954000,137236000,2195000,2195000,29991000,29991000,235000,2703000,235000,0,,59762000,59762000,1419000,8983000,27721000,N,26302000,N,N,103075000,100951000,0.979393645403832,106653000,102704000,0.962973380964436,60911,Aa3,26.51,2985902230,6511100191.83,847,0.051076777643201,34.21,9121.5400000000009,Central CT RPA
