Town,VName,Vendor,VAddrs,VType,VGrp,Spons,CCode,Payment,PayDate,GrantName,InvoiceNum,InvDate,Date2,CCode_A,TTYpe,CCode_B,Qtr,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2008-170036-,3000.0000,3/26/2008,Primary Mental Health,CM_APR2008_02401,2008/03/26 #: CM_APR2008_02401,03/26/2008,11000-12198-82079-2008,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2008-170036-,2000.0000,2/28/2008,Primary Mental Health,CM_MAR2008_02314,2008/02/28 #: CM_MAR2008_02314,02/28/2008,11000-12198-82079-2008,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2008-170036-,4000.0000,4/26/2008,Primary Mental Health,CM_MAY2008_02461,2008/04/26 #: CM_MAY2008_02461,04/26/2008,11000-12198-82079-2008,2,11000-12198-82079-170036,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2008-170036-,1500.0000,1/29/2008,Primary Mental Health,CM_FEB2008_02233,2008/01/29 #: CM_FEB2008_02233,01/29/2008,11000-12198-82079-2008,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2008-170036-,5500.0000,12/22/2007,Primary Mental Health,CM_JAN2008_02080,2007/12/22 #: CM_JAN2008_02080,12/22/2007,11000-12198-82079-2008,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2008-170036-,2123.0000,5/29/2008,Primary Mental Health,CM_JUN2008_02549,2008/05/29 #: CM_JUN2008_02549,05/29/2008,11000-12198-82079-2008,2,11000-12198-82079-170036,QE-4 06/30,
2,Ansonia,0000000002,000,00,1,,11000-16072-82010-2008-170005-,23619.0000,11/29/2007,Healthy Foods Grant,HEALTHY_FOODS_2008_ADV,2007/11/29 #: HEALTHY_FOODS_2008_ADV,11/29/2007,11000-16072-82010-2008,2,11000-16072-82010-170005,QE-2 12/31,
2,Ansonia,0000000002,000,00,1,,11000-16072-82010-2008-170005-,9556.0000,5/14/2008,Healthy Foods Grant,HEALTHY_FOODS_2008,2008/05/14 #: HEALTHY_FOODS_2008,05/14/2008,11000-16072-82010-2008,2,11000-16072-82010-170005,QE-4 06/30,
2,Ansonia,0000000002,002,02,1,00200,11000-16072-82051-2008-170005-,12114.0000,10/1/2007,Child Nutrition State Matching Grant,PUB_STMCH_SEP2007,2007/10/01 #: PUB_STMCH_SEP2007,10/01/2007,11000-16072-82051-2008,2,11000-16072-82051-170005,QE-2 12/31,
2,Ansonia,0000000002,002,02,1,00200,11000-16072-82051-2008-170005-,4266.0000,3/31/2008,Child Nutrition State Matching Grant,PUB_STMCH_APR2008,2008/03/31 #: PUB_STMCH_APR2008,03/31/2008,11000-16072-82051-2008,2,11000-16072-82051-170005,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2008-170002-,1040.0000,4/1/2008,Youth Service Bureau-Enhancement,CM_APR2008_02449,2008/04/01 #: CM_APR2008_02449,04/01/2008,11000-16201-82079-2008,2,11000-16201-82079-170002,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2008-170002-,2344.0000,1/5/2008,Youth Service Bureau-Enhancement,CM_JAN2008_02180,2008/01/05 #: CM_JAN2008_02180,01/05/2008,11000-16201-82079-2008,2,11000-16201-82079-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2008-170002-,2344.0000,3/4/2008,Youth Service Bureau-Enhancement,CM_MAR2008_02351,2008/03/04 #: CM_MAR2008_02351,03/04/2008,11000-16201-82079-2008,2,11000-16201-82079-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2008-170002-,522.0000,4/29/2008,Youth Service Bureau-Enhancement,CM_MAY2008_02507,2008/04/29 #: CM_MAY2008_02507,04/29/2008,11000-16201-82079-2008,2,11000-16201-82079-170002,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-17027-82010-2008-170005-,221630.0000,5/5/2008,Transportation Of School Children-Public,TRANPUB_2008,2008/05/05 #: TRANPUB_2008,05/05/2008,11000-17027-82010-2008,2,11000-17027-82010-170005,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-17030-84003-2008-170013-,61166.0000,8/24/2007,Adult Education - Cooperative,ADED_CO_AUG_2007,2007/08/24 #: ADED_CO_AUG_2007,08/24/2007,11000-17030-84003-2008,2,11000-17030-84003-170013,QE-1 09/30,
2,Ansonia,0000000002,001,00,1,,11000-17030-84003-2008-170013-,32781.0000,5/27/2008,Adult Education - Cooperative,ADED_CO_MAY_2008,2008/05/27 #: ADED_CO_MAY_2008,05/27/2008,11000-17030-84003-2008,2,11000-17030-84003-170013,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-17034-82010-2008-170006-,29144.0000,1/8/2008,Nonpublic Health Services,HLTHSRVC_JAN_2008,2008/01/08 #: HLTHSRVC_JAN_2008,01/08/2008,11000-17034-82010-2008,2,11000-17034-82010-170006,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-17041-82010-2008-170002-,3595461.0000,10/24/2007,Education Equalization,ECS_OCT_2007,2007/10/24 #: ECS_OCT_2007,10/24/2007,11000-17041-82010-2008,2,11000-17041-82010-170002,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-17041-82010-2008-170002-,3595461.0000,1/24/2008,Education Equalization,ECS_JAN_2008,2008/01/24 #: ECS_JAN_2008,01/24/2008,11000-17041-82010-2008,2,11000-17041-82010-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-17041-82010-2008-170002-,7203851.0000,4/23/2008,Education Equalization,ECS_APR_2008,2008/04/23 #: ECS_APR_2008,04/23/2008,11000-17041-82010-2008,2,11000-17041-82010-170002,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-17042-82079-2008-170002-,250.0000,3/26/2008,Bilingual Education,CM_APR2008_02402,2008/03/26 #: CM_APR2008_02402,03/26/2008,11000-17042-82079-2008,2,11000-17042-82079-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-17042-82079-2008-170002-,343.0000,2/28/2008,Bilingual Education,CM_MAR2008_02315,2008/02/28 #: CM_MAR2008_02315,02/28/2008,11000-17042-82079-2008,2,11000-17042-82079-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-17042-82079-2008-170002-,1000.0000,4/26/2008,Bilingual Education,CM_MAY2008_02462,2008/04/26 #: CM_MAY2008_02462,04/26/2008,11000-17042-82079-2008,2,11000-17042-82079-170002,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-17042-82079-2008-170002-,407.0000,12/22/2007,Bilingual Education,CM_JAN2008_02081,2007/12/22 #: CM_JAN2008_02081,12/22/2007,11000-17042-82079-2008,2,11000-17042-82079-170002,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-17042-82079-2008-170002-,407.0000,5/29/2008,Bilingual Education,CM_JUN2008_02550,2008/05/29 #: CM_JUN2008_02550,05/29/2008,11000-17042-82079-2008,2,11000-17042-82079-170002,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-17043-82052-2008-170002-,50000.0000,3/26/2008,Priority School Districts,CM_APR2008_02403,2008/03/26 #: CM_APR2008_02403,03/26/2008,11000-17043-82052-2008,2,11000-17043-82052-170002,QE-3 03/31,
