Town,VName,Vendor,VAddrs,VType,Spons,CCode,VGrp,Payment,PayDate,GrantName,InvoiceNum,InvDate,Date2,CCode_A,TTYpe,CCode_B,Qtr,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2005-170036-,1,5000.0000,10/28/2004,Primary Mental Health,70197,2004/10/28 #: 70197,10/28/2004,11000-12198-82079-2005,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2005-170036-,1,2000.0000,12/1/2004,Primary Mental Health,70282,2004/12/01 #: 70282,12/01/2004,11000-12198-82079-2005,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2005-170036-,1,2000.0000,12/28/2004,Primary Mental Health,70338,2004/12/28 #: 70338,12/28/2004,11000-12198-82079-2005,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2005-170036-,1,2000.0000,2/25/2005,Primary Mental Health,70524,2005/02/25 #: 70524,02/25/2005,11000-12198-82079-2005,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2005-170036-,1,2000.0000,3/24/2005,Primary Mental Health,70625,2005/03/24 #: 70625,03/24/2005,11000-12198-82079-2005,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2005-170036-,1,2000.0000,5/4/2005,Primary Mental Health,70741,2005/05/04 #: 70741,05/04/2005,11000-12198-82079-2005,2,11000-12198-82079-170036,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2005-170036-,1,4000.0000,5/28/2005,Primary Mental Health,70825,2005/05/28 #: 70825,05/28/2005,11000-12198-82079-2005,2,11000-12198-82079-170036,QE-4 06/30,
2,Ansonia,0000000002,002,02,00200,11000-16072-82051-2005-170005-,1,11771.0000,9/27/2004,Child Nutrition State Matching Grant,PUB_STMCH_2005,2004/09/27 #: PUB_STMCH_2005,09/27/2004,11000-16072-82051-2005,2,11000-16072-82051-170005,QE-1 09/30,
2,Ansonia,0000000002,002,02,00200,11000-16072-82051-2005-170005-,1,3076.0000,4/8/2005,Child Nutrition State Matching Grant,PUB_STMCH_APR2005,2005/04/08 #: PUB_STMCH_APR2005,04/08/2005,11000-16072-82051-2005,2,11000-16072-82051-170005,QE-4 06/30,
2,Ansonia,0000000002,000,03,,11000-17014-82005-2005-170063-,1,51230.0000,8/3/2004,School Construction-Bond Refinancing,70037,2004/08/03 #: 70037,08/03/2004,11000-17014-82005-2005,2,11000-17014-82005-170063,QE-1 09/30,
