Town,VName,Vendor,VAddrs,VType,Spons,CCode,VGrp,Payment,PayDate,GrantName,InvoiceNum,InvDate,Date2,CCode_A,TTYpe,CCode_B,Qtr,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2007-170036-,1,2000.0000,12/5/2006,Primary Mental Health,CM_DEC2006_09401,2006/12/05 #: CM_DEC2006_09401,12/05/2006,11000-12198-82079-2007,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2007-170036-,1,2000.0000,10/30/2006,Primary Mental Health,CM_NOV2006_93904,2006/10/30 #: CM_NOV2006_93904,10/30/2006,11000-12198-82079-2007,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2007-170036-,1,5000.0000,1/2/2007,Primary Mental Health,CM_JAN2007_09510,2007/01/02 #: CM_JAN2007_09510,01/02/2007,11000-12198-82079-2007,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2007-170036-,1,2000.0000,9/28/2006,Primary Mental Health,CM_OCT2006_93821,2006/09/28 #: CM_OCT2006_93821,09/28/2006,11000-12198-82079-2007,2,11000-12198-82079-170036,QE-1 09/30,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2007-170036-,1,2400.0000,5/1/2007,Primary Mental Health,CM_MAY2007_01361,2007/05/01 #: CM_MAY2007_01361,05/01/2007,11000-12198-82079-2007,2,11000-12198-82079-170036,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2007-170036-,1,2000.0000,2/3/2007,Primary Mental Health,CM_FEB2007_09618,2007/02/03 #: CM_FEB2007_09618,02/03/2007,11000-12198-82079-2007,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2007-170036-,1,1500.0000,3/28/2007,Primary Mental Health,CM_APR2007_01240,2007/03/28 #: CM_APR2007_01240,03/28/2007,11000-12198-82079-2007,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2007-170036-,1,1000.0000,2/28/2007,Primary Mental Health,CM_MAR2007_09726,2007/02/28 #: CM_MAR2007_09726,02/28/2007,11000-12198-82079-2007,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,000,00,,11000-16072-82010-2007-170005-,1,25341.0000,12/22/2006,Healthy Foods Grant,HLTHY_09488,2006/12/22 #: HLTHY_09488,12/22/2006,11000-16072-82010-2007,2,11000-16072-82010-170005,QE-2 12/31,
2,Ansonia,0000000002,000,00,,11000-16072-82010-2007-170005-,1,6151.0000,6/19/2007,Healthy Foods Grant,HEALTHY_FOODS_FINAL_PYMNT,2007/06/19 #: HEALTHY_FOODS_FINAL_PYMNT,06/19/2007,11000-16072-82010-2007,2,11000-16072-82010-170005,QE-4 06/30,
2,Ansonia,0000000002,002,02,00200,11000-16072-82051-2007-170005-,1,11980.0000,9/26/2006,Child Nutrition State Matching Grant,PUB_STMCH_OCT2006,2006/09/26 #: PUB_STMCH_OCT2006,09/26/2006,11000-16072-82051-2007,2,11000-16072-82051-170005,QE-1 09/30,
2,Ansonia,0000000002,002,02,00200,11000-16072-82051-2007-170005-,1,4172.0000,4/16/2007,Child Nutrition State Matching Grant,PUB_STMCH_APR2007,2007/04/16 #: PUB_STMCH_APR2007,04/16/2007,11000-16072-82051-2007,2,11000-16072-82051-170005,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-17027-82010-2007-170005-,1,254478.0000,5/9/2007,Transportation Of School Children-Public,TRANPUB_2007,2007/05/09 #: TRANPUB_2007,05/09/2007,11000-17027-82010-2007,2,11000-17027-82010-170005,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-17030-84003-2007-170013-,1,46982.0000,8/23/2006,Adult Education - Cooperative,ADED_CO_AUG_2006,2006/08/23 #: ADED_CO_AUG_2006,08/23/2006,11000-17030-84003-2007,2,11000-17030-84003-170013,QE-1 09/30,
2,Ansonia,0000000002,001,00,,11000-17030-84003-2007-170013-,1,25794.0000,5/24/2007,Adult Education - Cooperative,ADED_CO_MAY_2007,2007/05/24 #: ADED_CO_MAY_2007,05/24/2007,11000-17030-84003-2007,2,11000-17030-84003-170013,QE-4 06/30,
