Town,VName,Vendor,VAddrs,VType,VGrp,Spons,CCode,Payment,PayDate,GrantName,InvoiceNum,InvDate,Date2,CCode_A,TTYpe,CCode_B,Qtr,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2014-170036-,9000.0000,12/23/2013,Primary Mental Health,CM_SDE_JAN2014_00001_2013357,2013/12/23 #: CM_SDE_JAN2014_00001_2013357,12/23/2013,11000-12198-82079-2014,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2014-170036-,2000.0000,1/23/2014,Primary Mental Health,CM_SDE_JAN2014_00001_2014023,2014/01/23 #: CM_SDE_JAN2014_00001_2014023,01/23/2014,11000-12198-82079-2014,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2014-170036-,4000.0000,2/26/2014,Primary Mental Health,CM_SDE_MAR2014_00001_2014057,2014/02/26 #: CM_SDE_MAR2014_00001_2014057,02/26/2014,11000-12198-82079-2014,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2014-170036-,2000.0000,3/26/2014,Primary Mental Health,CM_SDE_APR2014_00001_2014085,2014/03/26 #: CM_SDE_APR2014_00001_2014085,03/26/2014,11000-12198-82079-2014,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-12198-82079-2014-170036-,2550.0000,4/24/2014,Primary Mental Health,CM_SDE_MAY2014_00001_2014114,2014/04/24 #: CM_SDE_MAY2014_00001_2014114,04/24/2014,11000-12198-82079-2014,2,11000-12198-82079-170036,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2014-170002-,1000.0000,10/25/2013,Youth Service Bureau-Enhancement,CM_SDE_NOV2013_00001_2013298,2013/10/25 #: CM_SDE_NOV2013_00001_2013298,10/25/2013,11000-16201-82079-2014,2,11000-16201-82079-170002,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2014-170002-,1000.0000,12/23/2013,Youth Service Bureau-Enhancement,CM_SDE_JAN2014_00002_2013357,2013/12/23 #: CM_SDE_JAN2014_00002_2013357,12/23/2013,11000-16201-82079-2014,2,11000-16201-82079-170002,QE-2 12/31,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2014-170002-,1000.0000,2/26/2014,Youth Service Bureau-Enhancement,CM_SDE_MAR2014_00002_2014057,2014/02/26 #: CM_SDE_MAR2014_00002_2014057,02/26/2014,11000-16201-82079-2014,2,11000-16201-82079-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2014-170002-,3172.0000,4/24/2014,Youth Service Bureau-Enhancement,CM_SDE_MAY2014_00002_2014114,2014/04/24 #: CM_SDE_MAY2014_00002_2014114,04/24/2014,11000-16201-82079-2014,2,11000-16201-82079-170002,QE-4 06/30,
2,Ansonia,0000000002,002,02,1,00200,11000-16211-82051-2014-170005-,11816.0000,9/24/2013,Child Nutrition State Matching Grant,STMCH_PUB_01-OCT2013-2013267,2013/09/24 #: STMCH_PUB_01-OCT2013-2013267,09/24/2013,11000-16211-82051-2014,2,11000-16211-82051-170005,QE-1 09/30,
2,Ansonia,0000000002,002,02,1,00200,11000-16211-82051-2014-170005-,4095.0000,4/23/2014,Child Nutrition State Matching Grant,STMCH_PUB_01_APR2014-2014112A,2014/04/23 #: STMCH_PUB_01_APR2014-2014112A,04/23/2014,11000-16211-82051-2014,2,11000-16211-82051-170005,QE-4 06/30,
2,Ansonia,0000000002,000,00,1,,11000-16212-82010-2014-170005-,23958.0000,11/22/2013,Health Foods Initiative,HLTFD_PUB_01-NOV2013-2013326,2013/11/22 #: HLTFD_PUB_01-NOV2013-2013326,11/22/2013,11000-16212-82010-2014,2,11000-16212-82010-170005,QE-2 12/31,
2,Ansonia,0000000002,000,00,1,,11000-16212-82010-2014-170005-,6396.0000,5/7/2014,Health Foods Initiative,HLTFD_PUB_01-MAY2014-2014127,2014/05/07 #: HLTFD_PUB_01-MAY2014-2014127,05/07/2014,11000-16212-82010-2014,2,11000-16212-82010-170005,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-17027-82010-2014-170005-,142355.0000,5/2/2014,Transportation Of School Children-Public,TRANPUB_EFT01_MAY2014_2014122,2014/05/02 #: TRANPUB_EFT01_MAY2014_2014122,05/02/2014,11000-17027-82010-2014,2,11000-17027-82010-170005,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-17030-84003-2014-170013-,69617.0000,8/27/2013,Adult Education - Cooperative,ADEDCOOP_EFT01_AUG2013_2013239,2013/08/27 #: ADEDCOOP_EFT01_AUG2013_2013239,08/27/2013,11000-17030-84003-2014,2,11000-17030-84003-170013,QE-1 09/30,
