Town,VName,Vendor,VAddrs,VType,VGrp,Spons,CCode,Payment,PayDate,GrantName,InvoiceNum,InvDate,Date2,CCode_A,TTYpe,CCode_B,Project,Acct,Qtr,
2,Ansonia,0000000002,001,00,1,,11000-16158-82079-2018-170018-,3750.0000,1/23/2018,Quality Enhancement Grant Program,CM_OEC_FEB2018_00001_2018023,2018/01/23 #: CM_OEC_FEB2018_00001_2018023,01/23/2018,11000-16158-82079-2018,2,11000-16158-82079-170018,OEC000000000002,55070,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-16158-82079-2018-170018-,1000.0000,3/19/2018,Quality Enhancement Grant Program,CM_OEC_APR2018_00001_2018078,2018/03/19 #: CM_OEC_APR2018_00001_2018078,03/19/2018,11000-16158-82079-2018,2,11000-16158-82079-170018,OEC000000000002,55070,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-16158-82079-2018-170018-,1697.0000,5/18/2018,Quality Enhancement Grant Program,CM_OEC_JUN2018_00001_2018138,2018/05/18 #: CM_OEC_JUN2018_00001_2018138,05/18/2018,11000-16158-82079-2018,2,11000-16158-82079-170018,OEC000000000002,55070,QE-4 06/30,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2018-170002-,2899.0000,1/23/2018,Youth Service Bureau-Enhancement,CM_SDE_FEB2018_00002_2018023,2018/01/23 #: CM_SDE_FEB2018_00002_2018023,01/23/2018,11000-16201-82079-2018,2,11000-16201-82079-170002,SDE000000000002,55070,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2018-170002-,1449.0000,3/19/2018,Youth Service Bureau-Enhancement,CM_SDE_APR2018_00002_2018078,2018/03/19 #: CM_SDE_APR2018_00002_2018078,03/19/2018,11000-16201-82079-2018,2,11000-16201-82079-170002,SDE000000000002,55070,QE-3 03/31,
2,Ansonia,0000000002,001,00,1,,11000-16201-82079-2018-170002-,1450.0000,5/18/2018,Youth Service Bureau-Enhancement,CM_SDE_JUN2018_00002_2018138,2018/05/18 #: CM_SDE_JUN2018_00002_2018138,05/18/2018,11000-16201-82079-2018,2,11000-16201-82079-170002,SDE000000000002,55070,QE-4 06/30,
2,Ansonia,0000000002,002,02,1,00200,11000-16211-82051-2018-170005-,7776.0000,10/6/2017,Child Nutrition State Matching Grant,STMCH_PUB_01-OCT2017-2017279,2017/10/06 #: STMCH_PUB_01-OCT2017-2017279,10/06/2017,11000-16211-82051-2018,2,11000-16211-82051-170005,SDE000000000002,55070,QE-2 12/31,
2,Ansonia,0000000002,002,02,1,00200,11000-16211-82051-2018-170005-,3740.0000,2/28/2018,Child Nutrition State Matching Grant,STMCH_PUB_01-FEB2018-2018059,2018/02/28 #: STMCH_PUB_01-FEB2018-2018059,02/28/2018,11000-16211-82051-2018,2,11000-16211-82051-170005,SDE000000000002,55070,QE-3 03/31,
2,Ansonia,0000000002,002,02,1,00200,11000-16211-82051-2018-170005-,3740.0000,6/4/2018,Child Nutrition State Matching Grant,STMCH_PUB_01-JUN2018-2018155,2018/06/04 #: STMCH_PUB_01-JUN2018-2018155,06/04/2018,11000-16211-82051-2018,2,11000-16211-82051-170005,SDE000000000002,55070,QE-4 06/30,
2,Ansonia,0000000002,000,00,1,,11000-16212-82010-2018-170005-,17049.0000,1/30/2018,Health Foods Initiative,HLTFD_PUB_01-JAN2018-2018030,2018/01/30 #: HLTFD_PUB_01-JAN2018-2018030,01/30/2018,11000-16212-82010-2018,2,11000-16212-82010-170005,SDE000000000002,55070,QE-3 03/31,
2,Ansonia,0000000002,000,00,1,,11000-16212-82010-2018-170005-,10940.0000,6/15/2018,Health Foods Initiative,HLTFD_PUB_01-JUN2018-2018166,2018/06/15 #: HLTFD_PUB_01-JUN2018-2018166,06/15/2018,11000-16212-82010-2018,2,11000-16212-82010-170005,SDE000000000002,55070,QE-4 06/30,
