City,report_year,Education spending,Inter_Gov_Rev,Enrollment
ANDOVER,2013,8562868.0,2930349.0,588.63
ANSONIA,2013,34124712.0,29957368.0,2628.64
ASHFORD,2013,11250309.0,4953913.0,642.8
AVON,2013,53396764.0,8450231.0,3472.15
BARKHAMSTED,2013,8852107.0,2215545.0,648.78
BEACON FALLS,2013,13516055.0,4478464.0,954.22
BERLIN,2013,46108451.0,12927657.0,3050.82
BETHANY,2013,15599595.0,3437582.0,943.59
BETHEL,2013,44246629.0,13396122.0,2962.07
BETHLEHEM,2013,6784789.0,1734028.0,428.22
BLOOMFIELD,2013,40980883.0,14348379.0,2260.5
BOLTON,2013,14080200.0,4855814.0,815.35
BOZRAH,2013,5670995.0,2082116.0,342.71
BRANFORD,2013,56100841.0,9900481.0,3353.78
BRIDGEPORT,2013,261470234.0,234019361.0,20484.53
BRIDGEWATER,2013,4891483.0,307777.0,197.42
BRISTOL,2013,98435000.0,64542000.0,8503.36
BROOKFIELD,2013,41347563.0,6510324.0,2836.39
BROOKLYN,2013,17370720.0,9758964.0,1260.76
BURLINGTON,2013,22848392.0,4948503.0,1770.2
CANAAN,2013,3244772.0,687482.0,117.4
CANTERBURY,2013,12149799.0,6686359.0,703.89
CANTON,2013,25709116.0,6277721.0,1775.95
CHAPLIN,2013,5931939.0,2611637.0,298.57
CHESHIRE,2013,68815590.0,23677909.0,4654.92
CHESTER,2013,9148482.0,1455992.0,512.62
CLINTON,2013,33124324.0,11389907.0,2034.37
COLCHESTER,2013,41828767.0,19347462.0,2949.7
COLEBROOK,2013,3719089.0,907870.0,220.85
COLUMBIA,2013,12036200.0,4064965.0,722.44
CORNWALL,2013,4283594.0,1005494.0,152.7
COVENTRY,2013,28131806.0,12829292.0,1853.0
CROMWELL,2013,28339843.0,7538023.0,2044.45
DANBURY,2013,130444875.0,45650430.0,10727.08
DARIEN,2013,90216733.0,13371459.0,4874.42
DEEP RIVER,2013,10720924.0,3307898.0,656.0
DERBY,2013,19314326.0,13667576.0,1613.19
DURHAM,2013,22540262.0,4575747.0,1304.18
EAST GRANBY,2013,13829200.0,2895160.0,901.36
EAST HADDAM,2013,20393896.0,7132706.0,1293.86
EAST HAMPTON,2013,29894213.0,11747385.0,1970.9
EAST HARTFORD,2013,100759000.0,59947000.0,8035.22
EAST HAVEN,2013,48455006.0,26362443.0,3641.21
EAST LYME,2013,46632038.0,13148147.0,2735.37
EAST WINDSOR,2013,22517698.0,8842174.0,1364.33
EASTFORD,2013,3864869.0,1614493.0,217.5
EASTON,2013,27263689.0,2596232.0,1478.84
ELLINGTON,2013,35342309.0,14706362.0,2788.55
ENFIELD,2013,73344000.0,44070000.0,5766.68
ESSEX,2013,15818277.0,1445426.0,968.06
FAIRFIELD,2013,166241000.0,26229000.0,10321.89
FARMINGTON,2013,61514220.0,12152086.0,4079.36
FRANKLIN,2013,4250498.0,1644771.0,280.58
GLASTONBURY,2013,101617744.0,21437368.0,6752.85
GOSHEN,2013,6924636.0,413074.0,405.07
GRANBY,2013,29454150.0,9891402.0,2074.46
GREENWICH,2013,155006606.0,26543729.0,8710.319999999998
GRISWOLD,2013,27317952.0,14081308.0,1835.88
GROTON,2013,80996988.0,44883513.0,5091.33
GROTON (City of),2013,0.0,290170.0,
GUILFORD,2013,58751799.0,10188125.0,3605.38
HADDAM,2013,20918591.0,2042960.0,1313.55
HAMDEN,2013,91359833.0,45338028.0,6763.01
HAMPTON,2013,4051240.0,1839568.0,195.7
HARTFORD,2013,314620000.0,280695000.0,21656.0
HARTLAND,2013,4906068.0,1979176.0,300.35
HARWINTON,2013,11880886.0,3550473.0,903.6400000000001
HEBRON,2013,26945745.0,8839751.0,2008.17
KENT,2013,7045914.0,1012520.0,316.55
KILLINGLY,2013,42666655.0,22056094.0,2487.59
KILLINGWORTH,2013,16611324.0,2869250.0,984.32
LEBANON,2013,18810571.0,7708327.0,1142.0
LEDYARD,2013,32958749.0,18857628.0,2526.08
LISBON,2013,10327874.0,4920021.0,625.38
LITCHFIELD,2013,18545000.0,3502000.0,1060.11
LYME,2013,5885453.0,375371.0,311.19
MADISON,2013,53737674.0,8608695.0,3379.67
MANCHESTER,2013,113067000.0,46708000.0,7146.52
MANSFIELD,2013,32224464.0,20156961.0,1971.76
MARLBOROUGH,2013,15213918.0,4242806.0,1188.4
MERIDEN,2013,111411471.0,73706875.0,9070.07
MIDDLEBURY,2013,19093395.0,1367670.0,1332.07
MIDDLEFIELD,2013,11549668.0,2487016.0,687.8
MIDDLETOWN,2013,79052000.0,35322000.0,5215.55
MILFORD,2013,119070000.0,26789000.0,6754.6
MONROE,2013,56376507.0,13856850.0,3558.39
MONTVILLE,2013,41237122.0,21095329.0,2513.59
MORRIS,2013,6103672.0,772934.0,335.7200000000001
NAUGATUCK,2013,62533010.0,38181435.0,4704.36
NEW BRITAIN,2013,133504000.0,103939000.0,11186.16
NEW CANAAN,2013,82762324.0,10875400.0,4220.54
NEW FAIRFIELD,2013,34611870.0,9685455.0,2724.56
NEW HARTFORD,2013,17248837.0,5040782.0,1123.4
NEW HAVEN,2013,204422059.0,234142830.0,18412.5
NEW LONDON,2013,43167950.0,37310111.0,3577.2
NEW MILFORD,2013,63309161.0,23289243.0,4531.27
NEWINGTON,2013,69551000.0,24567000.0,4452.04
NEWTOWN,2013,74874327.0,14999779.0,5189.01
NORFOLK,2013,4442161.0,945885.0,221.53
NORTH BRANFORD,2013,32125690.0,12329642.0,2187.28
NORTH CANAAN,2013,8519198.0,2807012.0,439.1
NORTH HAVEN,2013,50439271.0,10779393.0,3561.96
NORTH STONINGTON,2013,13413630.0,7005458.0,780.99
NORWALK,2013,174748185.0,38613793.0,11240.67
NORWICH,2013,75394000.0,43580000.0,5412.87
OLD LYME,2013,24293158.0,1206956.0,1166.63
OLD SAYBROOK,2013,24745084.0,3651327.0,1476.66
ORANGE,2013,40376009.0,5026798.0,2438.22
OXFORD,2013,28790894.0,8797397.0,2148.64
PLAINFIELD,2013,36236087.0,22456817.0,2393.63
PLAINVILLE,2013,36498345.0,15895074.0,2400.73
PLYMOUTH,2013,25466681.0,13523084.0,1797.46
POMFRET,2013,10583518.0,4579093.0,679.03
PORTLAND,2013,20216816.0,6777356.0,1427.69
PRESTON,2013,11017203.0,5631824.0,608.68
PROSPECT,2013,20746911.0,5999797.0,1473.84
PUTNAM,2013,18493953.0,11313912.0,1221.89
REDDING,2013,35982664.0,3546997.0,1662.51
RIDGEFIELD,2013,90046458.0,13105503.0,5287.3
ROCKY HILL,2013,33885126.0,9052449.0,2599.66
ROXBURY,2013,6658466.0,263073.0,269.1
SALEM,2013,11116008.0,4367583.0,699.1
SALISBURY,2013,8054951.0,1044352.0,384.9
SCOTLAND,2013,4513899.0,1918623.0,211.8
SEYMOUR,2013,33091150.0,14495662.0,2406.76
SHARON,2013,6450506.0,609850.0,241.0
SHELTON,2013,70066838.0,14302128.0,5246.87
SHERMAN,2013,9169574.0,1168586.0,572.91
SIMSBURY,2013,70434246.0,13789313.0,4599.96
SOMERS,2013,22526248.0,12300540.0,1569.43
SOUTH WINDSOR,2013,71405984.0,21232260.0,4425.06
SOUTHBURY,2013,40999183.0,3816018.0,2790.96
SOUTHINGTON,2013,91796000.0,31920000.0,6769.48
SPRAGUE,2013,6351215.0,3608375.0,452.68
STAFFORD,2013,28209133.0,14192045.0,1746.47
STAMFORD,2013,255459497.0,48397667.0,15490.56
STERLING,2013,8274645.0,4210875.0,664.02
STONINGTON,2013,36055893.0,5827721.0,2440.75
STRATFORD,2013,104421589.0,42309903.0,7354.08
SUFFIELD,2013,35308503.0,17289320.0,2384.4
THOMASTON,2013,15702579.0,8104930.0,1163.48
THOMPSON,2013,17999046.0,10242444.0,1189.66
TOLLAND,2013,40346946.0,16502034.0,2949.6
TORRINGTON,2013,71882551.0,35757107.0,4532.89
TRUMBULL,2013,105090812.0,17524070.0,6759.27
UNION,2013,1739301.0,546054.0,100.0
VERNON,2013,54365055.0,25275405.0,3709.87
VOLUNTOWN,2013,6716929.0,3537975.0,415.1
WALLINGFORD,2013,99391000.0,37299000.0,6288.63
WARREN,2013,3158921.0,167000.0,171.34
WASHINGTON,2013,9532203.0,374888.0,372.41
WATERBURY,2013,174373000.0,159594000.0,17787.24
WATERFORD,2013,49169506.0,8260186.0,3014.42
WATERTOWN,2013,42983391.0,18523914.0,3040.11
WEST HARTFORD,2013,155074000.0,39853000.0,10333.58
WEST HAVEN,2013,89015764.0,62176447.0,7224.26
WESTBROOK,2013,16815605.0,2641702.0,889.1699999999998
WESTON,2013,50549481.0,5788270.0,2420.87
WESTPORT,2013,115994712.0,4478950.0,5762.21
WETHERSFIELD,2013,58303580.0,16262260.0,3877.95
WILLINGTON,2013,12924389.0,4980306.0,737.58
WILTON,2013,82539363.0,11311495.0,4296.63
WINCHESTER,2013,20997178.0,9857387.0,1301.33
WINDHAM,2013,48653356.0,36815328.0,3255.11
WINDSOR,2013,68251357.0,21410871.0,4019.78
WINDSOR LOCKS,2013,31350999.0,15521733.0,1834.61
WOLCOTT,2013,36419835.0,20168083.0,2811.56
WOODBRIDGE,2013,26719822.0,2939803.0,1463.84
WOODBURY,2013,20965425.0,1371945.0,1267.5
WOODSTOCK,2013,16844128.0,7561764.0,1312.5
HARWINTON,2012,11389097.0,3010249.0,914.82
HEBRON,2012,26592584.0,8531099.0,2080.81
KENT,2012,6691378.0,795244.0,339.37
KILLINGLY,2012,41301709.0,21912766.0,2549.12
KILLINGWORTH,2012,16985013.0,2722055.0,1067.3
LEBANON,2012,18954614.0,7764509.0,1186.02
LEDYARD,2012,32771856.0,18750904.0,2528.97
LISBON,2012,10024384.0,5005377.0,655.36
LITCHFIELD,2012,18102000.0,3352000.0,1154.29
LYME,2012,5862930.0,358924.0,297.86
MADISON,2012,52720499.0,8300730.0,3519.3
ANDOVER,2012,8408601.0,2835725.0,608.16
ANSONIA,2012,33764768.0,26864426.0,2710.56
ASHFORD,2012,11084777.0,5120557.0,702.71
AVON,2012,51292289.0,10519982.0,3538.0
BARKHAMSTED,2012,8597998.0,2118537.0,650.16
BEACON FALLS,2012,13312652.0,4488715.0,994.91
BERLIN,2012,45044221.0,13319574.0,3078.92
BETHANY,2012,15411290.0,3233000.0,973.53
BETHEL,2012,42185635.0,13030608.0,2962.34
BETHLEHEM,2012,6870029.0,1505732.0,453.24
BLOOMFIELD,2012,41407469.0,12018377.0,2374.3
BOLTON,2012,13711064.0,4994535.0,828.2899999999998
BOZRAH,2012,5548197.0,2190134.0,349.75
BRANFORD,2012,54721423.0,9720290.0,3393.42
BRIDGEPORT,2012,259297544.0,231508096.0,20870.82
BRIDGEWATER,2012,5022059.0,187351.0,205.32
BRISTOL,2012,100448000.0,66772000.0,8636.53
BROOKFIELD,2012,39846302.0,6795024.0,2904.83
BROOKLYN,2012,16973810.0,9690564.0,1264.51
BURLINGTON,2012,22567658.0,5127718.0,1778.71
CANAAN,2012,3215901.0,688386.0,141.0
CANTERBURY,2012,11472655.0,6286761.0,720.98
CANTON,2012,25324536.0,7311860.0,1771.73
CHAPLIN,2012,5626443.0,2646028.0,301.79
CHESHIRE,2012,67408514.0,23993678.0,4784.84
CHESTER,2012,9115305.0,1215200.0,529.84
CLINTON,2012,32273832.0,11674036.0,2057.31
COLCHESTER,2012,40492902.0,19517186.0,3062.92
COLEBROOK,2012,3978880.0,959753.0,221.84
COLUMBIA,2012,11931065.0,4299003.0,737.82
CORNWALL,2012,4096802.0,1049616.0,159.88
COVENTRY,2012,27995105.0,12694185.0,1889.13
CROMWELL,2012,28116330.0,7379711.0,2034.61
DANBURY,2012,129949781.0,47293595.0,10615.37
DARIEN,2012,86509642.0,13207295.0,4834.92
DEEP RIVER,2012,10717646.0,2928640.0,648.0
DERBY,2012,18898160.0,11842416.0,1572.45
ESSEX,2012,15259930.0,1259999.0,969.75
FAIRFIELD,2012,161132000.0,24570000.0,10314.03
FARMINGTON,2012,59898122.0,11990375.0,4045.25
FRANKLIN,2012,4364345.0,1600115.0,285.07
GLASTONBURY,2012,99561559.0,18403425.0,6825.84
GOSHEN,2012,7155779.0,382760.0,409.18
GRANBY,2012,29506830.0,11210292.0,2147.51
GREENWICH,2012,152486555.0,27425341.0,8715.2
GRISWOLD,2012,26378099.0,14145562.0,1846.13
GROTON,2012,79722039.0,43940965.0,5181.24
GROTON (City of),2012,0.0,327558.0,
GUILFORD,2012,56963303.0,10474843.0,3684.08
HADDAM,2012,20170062.0,2197636.0,1345.97
HAMDEN,2012,87773548.0,42518172.0,6769.66
HAMPTON,2012,4143921.0,1831240.0,194.99
HARTFORD,2012,313069000.0,280582000.0,21107.37
HARTLAND,2012,4786648.0,2004355.0,319.09
DURHAM,2012,21677624.0,4672489.0,1340.1
EAST GRANBY,2012,13237128.0,2825510.0,890.4
EAST HADDAM,2012,20323325.0,7001530.0,1302.76
EAST HAMPTON,2012,29238599.0,11601455.0,1996.51
EAST HARTFORD,2012,97696000.0,60641000.0,8141.51
EAST HAVEN,2012,48339563.0,26415418.0,3674.27
EAST LYME,2012,45459821.0,13081658.0,2784.26
EAST WINDSOR,2012,21503161.0,8420974.0,1369.13
EASTFORD,2012,3756017.0,1655934.0,233.92
EASTON,2012,26784954.0,2366020.0,1509.12
ELLINGTON,2012,33773953.0,14663268.0,2766.34
ENFIELD,2012,71140000.0,43580000.0,5917.68
MANCHESTER,2012,112033000.0,47260000.0,7247.56
MANSFIELD,2012,32491645.0,19796256.0,1978.65
MARLBOROUGH,2012,14996229.0,4225526.0,1218.82
MERIDEN,2012,111433666.0,74930580.0,9142.03
MIDDLEBURY,2012,18677886.0,1594083.0,1348.29
