City,report_year,FTE Count,EDSIGHT_ENROLLMENT,Teacher FTE Count,Counselor FTE Count,has_nulls
ANDOVER,2002,30.3,,,,True
ANDOVER,2003,62.20000000000001,,23.6,,True
ANDOVER,2004,62.20000000000001,,23.8,,True
ANDOVER,2005,60.599999999999994,,25.8,,True
ANDOVER,2006,59.599999999999994,,24.8,,True
ANDOVER,2007,60.9,,23.8,,True
ANDOVER,2008,57.99999999999999,347,25.3,,True
ANDOVER,2009,59.39999999999999,334,25.3,,True
ANDOVER,2010,59.99999999999999,336,26.3,,True
ANDOVER,2011,59.699999999999996,334,26.3,,True
ANDOVER,2012,57.6,314,25.2,,True
ANDOVER,2013,56.6,315,24.7,,True
ANDOVER,2014,56.6,299,24.7,,True
ANDOVER,2015,52.099999999999994,275,19.7,,True
ANDOVER,2016,54.3,250,22.8,,True
ANDOVER,2017,45.300000000000004,225,17.8,,True
ANDOVER,2018,46.300000000000004,204,19.8,,True
ANSONIA,2002,112.10000000000001,,,,True
ANSONIA,2003,314.2,,136.8,9.0,False
ANSONIA,2004,346.9,,141.5,12.0,False
ANSONIA,2005,363.1,,150.7,12.0,False
ANSONIA,2006,368.70000000000005,,146.0,12.0,False
ANSONIA,2007,489.8,,147.0,12.0,False
ANSONIA,2008,391.90000000000003,2743,148.0,12.0,False
ANSONIA,2009,404.5,2722,152.0,13.6,False
ANSONIA,2010,373.2,2738,143.8,13.6,False
ANSONIA,2011,399.6,2627,147.0,13.6,False
ANSONIA,2012,389.6,2526,142.0,13.6,False
ANSONIA,2013,376.7,2425,139.6,13.6,False
ANSONIA,2014,391.7,2338,145.0,13.0,False
ANSONIA,2015,347.2,2415,148.2,13.0,False
ANSONIA,2016,353.5,2382,146.2,14.0,False
ANSONIA,2017,344.0,2364,143.0,12.0,False
ANSONIA,2018,341.8,2304,136.6,14.0,False
ASHFORD,2002,23.7,,,,True
ASHFORD,2003,89.3,,37.0,1.0,True
ASHFORD,2004,91.8,,37.8,1.6,True
ASHFORD,2005,88.0,,37.4,1.6,True
ASHFORD,2006,92.39999999999999,,37.8,1.6,True
ASHFORD,2007,93.9,,37.0,1.6,True
ASHFORD,2008,95.80000000000001,505,37.6,1.6,True
ASHFORD,2009,97.0,488,39.6,1.6,True
ASHFORD,2010,97.39999999999999,478,41.3,1.6,True
ASHFORD,2011,96.19999999999999,479,39.5,2.0,True
ASHFORD,2012,96.79999999999998,481,39.5,2.0,True
ASHFORD,2013,92.39999999999999,440,38.6,2.0,True
ASHFORD,2014,91.5,424,38.0,2.0,True
ASHFORD,2015,95.8,417,39.0,2.0,True
ASHFORD,2016,96.9,400,40.0,2.0,True
ASHFORD,2017,98.3,407,37.5,2.0,True
ASHFORD,2018,94.5,395,37.0,1.0,True
AVON,2002,140.8,,,,True
AVON,2003,510.7,,198.5,15.2,False
AVON,2004,412.30000000000007,,199.5,15.8,False
AVON,2005,446.20000000000005,,204.8,15.8,False
AVON,2006,440.8,,205.4,15.8,False
AVON,2007,458.6,,210.8,16.8,False
AVON,2008,465.6,3612,212.4,17.8,False
AVON,2009,506.79999999999995,3569,216.6,15.9,False
AVON,2010,498.80000000000007,3598,204.9,16.9,False
AVON,2011,516.0,3564,204.3,17.2,False
AVON,2012,533.0,3518,207.8,18.6,False
AVON,2013,527.3000000000001,3421,208.5,19.7,False
AVON,2014,507.90000000000003,3387,213.5,19.5,False
AVON,2015,510.50000000000006,3332,210.3,17.9,False
AVON,2016,509.3,3285,211.4,16.0,False
AVON,2017,514.8,3288,216.2,17.0,False
AVON,2018,491.09999999999997,3221,205.1,16.0,False
BARKHAMSTED,2002,16.6,,,,True
BARKHAMSTED,2003,46.9,,20.1,1.3,False
BARKHAMSTED,2004,57.0,,19.7,1.3,False
BARKHAMSTED,2005,55.5,,19.7,1.3,False
BARKHAMSTED,2006,54.400000000000006,,19.7,1.2,False
BARKHAMSTED,2007,55.699999999999996,,20.7,1.2,False
BARKHAMSTED,2008,56.10000000000001,358,20.7,1.1,True
BARKHAMSTED,2009,56.0,362,21.2,1.2,False
BARKHAMSTED,2010,54.29999999999999,367,21.7,1.2,False
BARKHAMSTED,2011,58.0,373,21.2,1.1,False
BARKHAMSTED,2012,55.0,357,20.7,1.2,False
BARKHAMSTED,2013,53.599999999999994,349,20.5,1.1,False
BARKHAMSTED,2014,53.8,307,20.5,1.4,False
BARKHAMSTED,2015,55.7,317,21.7,,True
BARKHAMSTED,2016,58.5,286,19.9,,True
BARKHAMSTED,2017,58.699999999999996,255,18.9,,True
BARKHAMSTED,2018,60.99999999999999,248,17.9,,True
BERLIN,2002,119.0,,,,True
BERLIN,2003,461.90000000000003,,197.4,16.8,False
BERLIN,2004,451.7,,194.0,16.6,False
BERLIN,2005,466.40000000000003,,201.9,17.1,False
BERLIN,2006,478.59999999999997,,205.3,17.9,False
BERLIN,2007,482.00000000000006,,206.8,16.8,False
BERLIN,2008,472.90000000000003,3275,196.7,16.8,False
BERLIN,2009,485.2,3223,203.7,17.8,False
BERLIN,2010,484.59999999999997,3169,202.0,16.8,False
BERLIN,2011,469.40000000000003,3129,200.6,16.8,False
BERLIN,2012,489.20000000000005,3027,202.4,16.9,False
BERLIN,2013,491.30000000000007,2985,204.9,16.9,False
BERLIN,2014,475.80000000000007,2963,208.5,16.8,False
BERLIN,2015,487.2,2909,210.4,17.0,False
BERLIN,2016,483.8,2879,200.6,16.0,False
BERLIN,2017,499.90000000000003,2805,204.3,17.0,False
BERLIN,2018,484.8,2795,191.9,17.0,False
BETHANY,2002,21.5,,,,True
BETHANY,2003,77.89999999999999,,39.8,2.4,True
BETHANY,2004,84.2,,40.7,2.4,True
BETHANY,2005,86.3,,38.8,2.1,True
BETHANY,2006,94.2,,40.4,2.0,True
BETHANY,2007,97.3,,40.4,2.2,True
BETHANY,2008,94.70000000000002,570,38.4,2.4,True
BETHANY,2009,96.0,551,38.9,2.4,True
BETHANY,2010,98.69999999999999,516,39.9,2.4,True
BETHANY,2011,91.99999999999999,514,37.9,1.8,True
BETHANY,2012,90.0,492,36.9,2.0,True
BETHANY,2013,92.19999999999999,473,36.9,2.4,True
BETHANY,2014,89.89999999999999,436,36.0,2.4,True
BETHANY,2015,79.69999999999999,407,33.6,2.4,False
BETHANY,2016,77.89999999999999,383,30.0,2.5,False
BETHANY,2017,75.3,356,29.8,2.5,True
BETHANY,2018,73.79999999999998,365,29.8,2.5,True
BETHEL,2002,120.0,,,,True
BETHEL,2003,477.29999999999995,,214.7,18.3,False
BETHEL,2004,466.3,,216.6,18.0,False
BETHEL,2005,469.99999999999994,,214.1,17.6,False
BETHEL,2006,447.7,,205.4,18.0,False
BETHEL,2007,462.69999999999993,,213.5,16.9,False
BETHEL,2008,469.7,3157,212.4,17.8,False
BETHEL,2009,475.6,3087,207.8,16.7,False
BETHEL,2010,475.20000000000005,3053,207.4,17.0,False
BETHEL,2011,475.40000000000003,2949,203.8,16.0,False
BETHEL,2012,467.7,2982,201.3,17.0,False
BETHEL,2013,465.0,2987,201.5,15.9,False
BETHEL,2014,467.4,3000,201.1,18.9,False
