City,report_year,FTE Count,EDSIGHT_ENROLLMENT,Teacher FTE Count,Counselor FTE Count,has_nulls,Education spending,Inter_Gov_Rev,Enrollment
ANDOVER,2002,30.3,,,,True,,,
ANDOVER,2003,62.20000000000001,,23.6,,True,,,
ANDOVER,2004,62.20000000000001,,23.8,,True,,,
ANDOVER,2005,60.6,,25.8,,True,,,
ANDOVER,2006,59.6,,24.8,,True,,,
ANDOVER,2007,60.9,,23.8,,True,7507964.0,2438728.0,645.4
ANDOVER,2008,57.99999999999999,347.0,25.3,,True,8829049.0,3810247.0,642.14
ANDOVER,2009,59.39999999999999,334.0,25.3,,True,8056856.0,2720551.0,641.76
ANDOVER,2010,59.99999999999999,336.0,26.3,,True,7844581.0,2378006.0,631.35
ANDOVER,2011,59.7,334.0,26.3,,True,8009858.0,2431822.0,636.48
ANDOVER,2012,57.6,314.0,25.2,,True,8408601.0,2835725.0,608.16
ANDOVER,2013,56.6,315.0,24.7,,True,8562868.0,2930349.0,588.63
ANDOVER,2014,56.6,299.0,24.7,,True,8800679.0,2979697.0,569.02
ANDOVER,2015,52.1,275.0,19.7,,True,8576809.0,3019532.0,535.65
ANDOVER,2016,54.3,250.0,22.8,,True,8780455.0,2961909.0,502.26
ANDOVER,2017,45.3,225.0,17.8,,True,,,
ANDOVER,2018,46.3,204.0,19.8,,True,,,
ANSONIA,2002,112.1,,,,True,,,
ANSONIA,2003,314.2,,136.8,9.0,False,,,
ANSONIA,2004,346.9,,141.5,12.0,False,,,
ANSONIA,2005,363.1,,150.7,12.0,False,,,
ANSONIA,2006,368.7000000000001,,146.0,12.0,False,,,
ANSONIA,2007,489.8,,147.0,12.0,False,29660930.0,24511137.0,2831.14
ANSONIA,2008,391.9,2743.0,148.0,12.0,False,38418010.0,32920804.0,2867.43
ANSONIA,2009,404.5,2722.0,152.0,13.6,False,31520992.0,26302924.0,2854.78
ANSONIA,2010,373.2,2738.0,143.8,13.6,False,32282747.0,26465983.0,2867.97
ANSONIA,2011,399.6,2627.0,147.0,13.6,False,31895845.0,27166329.0,2795.42
ANSONIA,2012,389.6,2526.0,142.0,13.6,False,33764768.0,26864426.0,2710.56
ANSONIA,2013,376.7,2425.0,139.6,13.6,False,34124712.0,29957368.0,2628.64
ANSONIA,2014,391.7,2338.0,145.0,13.0,False,35784832.0,28229568.0,2528.6
ANSONIA,2015,347.2,2415.0,148.2,13.0,False,37029834.0,27853347.0,2585.1
ANSONIA,2016,353.5,2382.0,146.2,14.0,False,38507977.0,29372130.0,2524.46
ANSONIA,2017,344.0,2364.0,143.0,12.0,False,,,
ANSONIA,2018,341.8,2304.0,136.6,14.0,False,,,
ASHFORD,2002,23.7,,,,True,,,
ASHFORD,2003,89.3,,37.0,1.0,True,,,
ASHFORD,2004,91.8,,37.8,1.6,True,,,
ASHFORD,2005,88.0,,37.4,1.6,True,,,
ASHFORD,2006,92.4,,37.8,1.6,True,,,
ASHFORD,2007,93.9,,37.0,1.6,True,9971001.0,4629417.0,759.63
ASHFORD,2008,95.8,505.0,37.6,1.6,True,11716666.0,6761186.0,710.79
ASHFORD,2009,97.0,488.0,39.6,1.6,True,10816718.0,5027254.0,695.89
ASHFORD,2010,97.4,478.0,41.3,1.6,True,10885166.0,5101308.0,696.74
ASHFORD,2011,96.2,479.0,39.5,2.0,True,11069550.0,4903431.0,701.78
ASHFORD,2012,96.79999999999998,481.0,39.5,2.0,True,11084777.0,5120557.0,702.71
ASHFORD,2013,92.4,440.0,38.6,2.0,True,11250309.0,4953913.0,642.8
ASHFORD,2014,91.5,424.0,38.0,2.0,True,11758559.0,5109447.0,615.78
ASHFORD,2015,95.8,417.0,39.0,2.0,True,11771983.0,5028901.0,597.72
ASHFORD,2016,96.9,400.0,40.0,2.0,True,11825590.0,4985298.0,562.82
ASHFORD,2017,98.3,407.0,37.5,2.0,True,,,
ASHFORD,2018,94.5,395.0,37.0,1.0,True,,,
AVON,2002,140.8,,,,True,,,
AVON,2003,510.7,,198.5,15.2,False,,,
AVON,2004,412.30000000000007,,199.5,15.8,False,,,
AVON,2005,446.2000000000001,,204.8,15.8,False,,,
AVON,2006,440.8,,205.4,15.8,False,,,
AVON,2007,458.6,,210.8,16.8,False,38966040.0,4265347.0,3511.67
AVON,2008,465.6,3612.0,212.4,17.8,False,54645090.0,18352155.0,3596.56
AVON,2009,506.8,3569.0,216.6,15.9,False,44212809.0,5662776.0,3573.81
AVON,2010,498.80000000000007,3598.0,204.9,16.9,False,45144616.0,5477312.0,3616.52
AVON,2011,516.0,3564.0,204.3,17.2,False,46977726.0,5710137.0,3585.43
AVON,2012,533.0,3518.0,207.8,18.6,False,51292289.0,10519982.0,3538.0
AVON,2013,527.3000000000002,3421.0,208.5,19.7,False,53396764.0,8450231.0,3472.15
AVON,2014,507.9,3387.0,213.5,19.5,False,56632683.0,10344758.0,3420.67
AVON,2015,510.50000000000006,3332.0,210.3,17.9,False,58148061.0,9442455.0,3325.72
AVON,2016,509.3,3285.0,211.4,16.0,False,59484885.0,9949386.0,3292.45
AVON,2017,514.8,3288.0,216.2,17.0,False,,,
AVON,2018,491.1,3221.0,205.1,16.0,False,,,
BARKHAMSTED,2002,16.6,,,,True,,,
BARKHAMSTED,2003,46.9,,20.1,1.3,False,,,
BARKHAMSTED,2004,57.0,,19.7,1.3,False,,,
BARKHAMSTED,2005,55.5,,19.7,1.3,False,,,
BARKHAMSTED,2006,54.40000000000001,,19.7,1.2,False,,,
BARKHAMSTED,2007,55.7,,20.7,1.2,False,7767269.0,1718189.0,666.72
BARKHAMSTED,2008,56.10000000000001,358.0,20.7,1.1,True,8995197.0,2988431.0,656.94
BARKHAMSTED,2009,56.0,362.0,21.2,1.2,False,8371378.0,2144721.0,676.46
BARKHAMSTED,2010,54.29999999999999,367.0,21.7,1.2,False,8464826.0,2045723.0,671.83
BARKHAMSTED,2011,58.0,373.0,21.2,1.1,False,8512747.0,2040073.0,660.1
BARKHAMSTED,2012,55.0,357.0,20.7,1.2,False,8597998.0,2118537.0,650.16
BARKHAMSTED,2013,53.6,349.0,20.5,1.1,False,8852107.0,2215545.0,648.78
BARKHAMSTED,2014,53.8,307.0,20.5,1.4,False,9363120.0,2207868.0,602.4500000000003
BARKHAMSTED,2015,55.7,317.0,21.7,,True,9432399.0,2206661.0,584.68
BARKHAMSTED,2016,58.5,286.0,19.9,,True,9502969.0,2190046.0,564.73
BARKHAMSTED,2017,58.7,255.0,18.9,,True,,,
BARKHAMSTED,2018,60.99999999999999,248.0,17.9,,True,,,
BERLIN,2002,119.0,,,,True,,,
BERLIN,2003,461.9,,197.4,16.8,False,,,
BERLIN,2004,451.7,,194.0,16.6,False,,,
BERLIN,2005,466.4,,201.9,17.1,False,,,
BERLIN,2006,478.6,,205.3,17.9,False,,,
BERLIN,2007,482.00000000000006,,206.8,16.8,False,37095815.0,9291106.0,3322.87
BERLIN,2008,472.9,3275.0,196.7,16.8,False,50558499.0,22335205.0,3313.32
BERLIN,2009,485.2,3223.0,203.7,17.8,False,41651157.0,11668616.0,3266.73
