VName,FYEAR,Payment
Ansonia,2004,11971916.0
Ansonia,2005,12208280.0
Ansonia,2006,12777406.0
Ansonia,2007,12841646.0
Ansonia,2008,14394773.0
Ansonia,2009,14844939.0
Ansonia,2010,12806734.0
Ansonia,2011,12850229.0
Ansonia,2012,14970112.0
Ansonia,2013,15016424.0
Ansonia,2014,15024433.0
Ansonia,2015,15052998.0
Ansonia,2016,15023989.0
Ansonia,2017,14918869.0
Ansonia,2018,15008498.0
Avon,2004,645790.0
Avon,2005,779236.0
Avon,2006,808870.0
Avon,2007,788010.0
Avon,2008,1191189.0
Avon,2009,1243373.0
Avon,2010,932050.0
Avon,2011,1051601.0
Avon,2012,1254193.0
Avon,2013,1215717.0
Avon,2014,1232052.0
Avon,2015,1258240.0
Avon,2016,1207268.0
Avon,2017,753989.0
Avon,2018,615146.0
Berlin,2004,4107735.0
Berlin,2005,4434846.0
Berlin,2006,4698428.0
Berlin,2007,4735915.0
Berlin,2008,5983437.0
Berlin,2009,6205239.0
Berlin,2010,5223255.0
Berlin,2011,5297652.0
Berlin,2012,6143835.0
Berlin,2013,6256477.0
Berlin,2014,6308120.0
Berlin,2015,6332782.0
Berlin,2016,6294062.0
Berlin,2017,6233686.0
Berlin,2018,5373271.0
Bethel,2004,6875202.0
Bethel,2005,7149036.0
Bethel,2006,7370981.0
Bethel,2007,7364577.0
Bethel,2008,7807750.0
Bethel,2009,8160712.0
Bethel,2010,6987511.0
Bethel,2011,7035099.0
Bethel,2012,8177221.0
Bethel,2013,8210370.0
Bethel,2014,8248659.0
Bethel,2015,8290545.0
Bethel,2016,8276741.0
Bethel,2017,8128052.0
Bethel,2018,7031632.0
Bloomfield,2004,2756837.0
Bloomfield,2005,3751392.0
Bloomfield,2006,4019327.0
Bloomfield,2007,4082582.0
Bloomfield,2008,5344521.0
Bloomfield,2009,5464227.0
Bloomfield,2010,4742677.0
Bloomfield,2011,4627774.0
Bloomfield,2012,5394223.0
Bloomfield,2013,5385009.0
Bloomfield,2014,5397793.0
Bloomfield,2015,5419868.0
Bloomfield,2016,5402974.0
Bloomfield,2017,5389028.0
Bloomfield,2018,5317993.0
Bolton,2004,2448276.0
Bolton,2005,2491108.0
Bolton,2006,2535860.0
Bolton,2007,2561956.0
Bolton,2008,2906375.0
Bolton,2009,3034684.0
Bolton,2010,2593671.0
Bolton,2011,2551681.0
Bolton,2012,3044546.0
Bolton,2013,3054665.0
Bolton,2014,3036036.0
Bolton,2015,3061138.0
Bolton,2016,3057224.0
Bolton,2017,2975184.0
Bolton,2018,2558995.0
Bozrah,2004,960249.0
Bozrah,2005,1013453.0
Bozrah,2006,1059194.0
Bozrah,2007,1061359.0
Bozrah,2008,1182310.0
Bozrah,2009,1229025.0
Bozrah,2010,1031174.0
Bozrah,2011,1053975.0
Bozrah,2012,1252778.0
Bozrah,2013,1236766.0
Bozrah,2014,1218851.0
Bozrah,2015,1251785.0
Bozrah,2016,1254433.0
Bozrah,2017,1218189.0
Bozrah,2018,1064932.0
Branford,2004,1240178.0
Branford,2005,1292801.0
Branford,2006,1295968.0
Branford,2007,1397866.0
Branford,2008,1648530.0
Branford,2009,1766972.0
Branford,2010,1467692.0
Branford,2011,1500376.0
Branford,2012,1813823.0
Branford,2013,1853934.0
Branford,2014,1856796.0
Branford,2015,1891038.0
Branford,2016,2116669.0
Branford,2017,2220292.0
Branford,2018,1852040.0
Bridgeport,2004,140283857.0
Bridgeport,2005,141629003.0
Bridgeport,2006,145606964.0
Bridgeport,2007,146274743.0
Bridgeport,2008,153919745.0
Bridgeport,2009,161366656.0
Bridgeport,2010,139410939.0
Bridgeport,2011,139393720.0
Bridgeport,2012,162594811.0
Bridgeport,2013,163978224.0
Bridgeport,2014,164201553.0
Bridgeport,2015,164382005.0
Bridgeport,2016,164414382.0
Bridgeport,2017,164274690.0
Bridgeport,2018,164025577.0
Bristol,2004,33288798.0
Bristol,2005,33764963.0
Bristol,2006,35219914.0
Bristol,2007,35494122.0
Bristol,2008,40101462.0
Bristol,2009,41674605.0
Bristol,2010,35395252.0
Bristol,2011,35554006.0
Bristol,2012,41613433.0
Bristol,2013,41696950.0
Bristol,2014,41622349.0
