FYEAR,VName,GrantName,Payment
2004,Ansonia,ADULT EDUCATION   COOPERATIVE,70805.0
2004,Ansonia,CARL D PERKINS VOC    TECH  EDUC  ACT,39617.0
2004,Ansonia,CHILD NUTRITION STATE MATCHING GRANT,15695.0
2004,Ansonia,EARLY READING SUCCESS,201582.0
2004,Ansonia,EDUCATION EQUALIZATION,11971916.0
2004,Ansonia,EDUCATION OF HOMELESS CHILDREN AND YOUTH,24067.0
2004,Ansonia,EXTENDED SCHOOL HOURS,47189.0
2004,Ansonia,IDEA PART B  SECTION,532618.0
2004,Ansonia,IDEA SLIVER GRANT,50000.0
2004,Ansonia,NAN,109263.89
2004,Ansonia,NATIONAL SCHOOL LUNCH,242493.1
2004,Ansonia,NONPUBLIC HEALTH SERVICES,25117.0
2004,Ansonia,OPEN CHOICE,4000.0
2004,Ansonia,PRIORITY SCHOOL DISTRICTS,403750.0
2004,Ansonia,QUALITY ENHANCEMENT GRANT,8011.0
2004,Ansonia,SCHOOL ACCOUNTABILITY   SUMMER SCHOOL,39618.0
2004,Ansonia,SCHOOL BREAKFAST PROGRAM,151231.0
2004,Ansonia,SCHOOL READINESS,130001.0
2004,Ansonia,SPEC ED AG  PLACEMENTS   EXCESS COST,224288.0
2004,Ansonia,ST CENTURY COMMUNITY LEARNING CENTERS,150000.0
2004,Ansonia,STATE SCHOOL BREAKFAST,16246.0
2004,Ansonia,SUMMER FOOD SERVICE PROGRAM   OPR,38204.0
2004,Ansonia,TITLE I IMPROVING BASIC PROGRAMS,694028.0
2004,Ansonia,TITLE I PART B  READING FIRST,40000.0
2004,Ansonia,TITLE II   EISENHOWER PROF  DEVEL  PROG,5380.0
2004,Ansonia,TITLE II PART A TEACHERS,127734.0
2004,Ansonia,TITLE II PART D TECHNOLOGY,17441.0
2004,Ansonia,TITLE III PART A ENGLISH LANG  ACQUIS,21416.0
2004,Ansonia,TITLE IV   SAFE   DRUG FREE SCHOOLS,14675.0
2004,Ansonia,TITLE IV PART A SAFE   DRUG FREE SCHOOLS,4162.0
2004,Ansonia,TITLE V INNOVATIVE EDUCATION STRATEGIES,18285.0
2004,Ansonia,TRANSPORTATION NONPUBLIC,16916.0
2004,Ansonia,TRANSPORTATION OF SCHOOL CHILDREN PUBLIC,247264.0
2004,Ansonia,YOUTH SERVICE BUREAU,16225.0
2004,Avon,ADULT EDUCATION   COOPERATIVE,867.0
2004,Avon,CHILD NUTRITION STATE MATCHING GRANT,8346.0
2004,Avon,EDUCATION EQUALIZATION,645790.0
2004,Avon,IDEA PART B  SECTION,396424.0
2004,Avon,INTERDISTRICT COOPERATIVE,96272.0
2004,Avon,MAGNET SCHOOL TRANSPORTATION,30000.0
2004,Avon,NAN,13302.14
2004,Avon,NATIONAL SCHOOL LUNCH,32234.25
2004,Avon,OPEN CHOICE,65801.0
2004,Avon,SPEC ED AG  PLACEMENTS   EXCESS COST,242894.0
2004,Avon,TITLE II PART A TEACHERS,38585.0
2004,Avon,TITLE IV   SAFE   DRUG FREE SCHOOLS,7047.0
2004,Avon,TITLE V INNOVATIVE EDUCATION STRATEGIES,7552.0
2004,Avon,TRANSPORTATION OF SCHOOL CHILDREN PUBLIC,14291.0
2004,Berlin,ADULT EDUCATION,10640.0
2004,Berlin,ADULT EDUCATION   PROVIDER,7676.0
2004,Berlin,CARL D PERKINS VOC    TECH  EDUC  ACT,15274.0
