City,report_year,Enrollment,FTE Count,Education spending,has_nulls
ANDOVER,2007,645.4,60.9,7507964.0,True
ANDOVER,2008,642.14,57.99999999999999,8829049.0,True
ANDOVER,2009,641.76,59.39999999999999,8056856.0,True
ANDOVER,2010,631.35,59.99999999999999,7844581.0,True
ANDOVER,2011,636.48,59.699999999999996,8009858.0,True
ANDOVER,2012,608.16,57.6,8408601.0,True
ANDOVER,2013,588.63,56.6,8562868.0,True
ANDOVER,2014,569.02,56.6,8800679.0,True
ANDOVER,2015,535.65,52.099999999999994,8576809.0,True
ANDOVER,2016,502.26,54.3,8780455.0,True
ANSONIA,2007,2831.14,489.8,29660930.0,False
ANSONIA,2008,2867.43,391.90000000000003,38418010.0,False
ANSONIA,2009,2854.78,404.5,31520992.0,False
ANSONIA,2010,2867.97,373.2,32282747.0,False
ANSONIA,2011,2795.42,399.6,31895845.0,False
ANSONIA,2012,2710.56,389.6,33764768.0,False
ANSONIA,2013,2628.64,376.7,34124712.0,False
ANSONIA,2014,2528.6,391.7,35784832.0,False
ANSONIA,2015,2585.1,347.2,37029834.0,False
ANSONIA,2016,2524.46,353.5,38507977.0,False
ASHFORD,2007,759.63,93.9,9971001.0,True
ASHFORD,2008,710.79,95.80000000000001,11716666.0,True
ASHFORD,2009,695.89,97.0,10816718.0,True
ASHFORD,2010,696.74,97.39999999999999,10885166.0,True
ASHFORD,2011,701.78,96.19999999999999,11069550.0,True
ASHFORD,2012,702.71,96.79999999999998,11084777.0,True
ASHFORD,2013,642.8,92.39999999999999,11250309.0,True
ASHFORD,2014,615.78,91.5,11758559.0,True
ASHFORD,2015,597.72,95.8,11771983.0,True
ASHFORD,2016,562.82,96.9,11825590.0,True
AVON,2007,3511.67,458.6,38966040.0,False
AVON,2008,3596.56,465.6,54645090.0,False
AVON,2009,3573.81,506.79999999999995,44212809.0,False
AVON,2010,3616.52,498.80000000000007,45144616.0,False
AVON,2011,3585.43,516.0,46977726.0,False
AVON,2012,3538.0,533.0,51292289.0,False
AVON,2013,3472.15,527.3000000000001,53396764.0,False
AVON,2014,3420.67,507.90000000000003,56632683.0,False
AVON,2015,3325.72,510.50000000000006,58148061.0,False
AVON,2016,3292.45,509.3,59484885.0,False
BARKHAMSTED,2007,666.72,55.699999999999996,7767269.0,False
BARKHAMSTED,2008,656.94,56.10000000000001,8995197.0,True
BARKHAMSTED,2009,676.46,56.0,8371378.0,False
BARKHAMSTED,2010,671.83,54.29999999999999,8464826.0,False
BARKHAMSTED,2011,660.1,58.0,8512747.0,False
BARKHAMSTED,2012,650.16,55.0,8597998.0,False
BARKHAMSTED,2013,648.78,53.599999999999994,8852107.0,False
BARKHAMSTED,2014,602.4500000000003,53.8,9363120.0,False
BARKHAMSTED,2015,584.68,55.7,9432399.0,True
BARKHAMSTED,2016,564.73,58.5,9502969.0,True
BERLIN,2007,3322.87,482.00000000000006,37095815.0,False
BERLIN,2008,3313.32,472.90000000000003,50558499.0,False
BERLIN,2009,3266.73,485.2,41651157.0,False
BERLIN,2010,3219.34,484.59999999999997,42342339.0,False
BERLIN,2011,3166.44,469.40000000000003,42974081.0,False
BERLIN,2012,3078.92,489.20000000000005,45044221.0,False
BERLIN,2013,3050.82,491.30000000000007,46108451.0,False
BERLIN,2014,3063.18,475.80000000000007,48175177.0,False
BERLIN,2015,3024.11,487.2,47885291.0,False
BERLIN,2016,2938.43,483.8,49476881.0,False
BETHANY,2007,1078.67,97.3,13332507.0,True
BETHANY,2008,1087.84,94.70000000000002,14630594.0,True
BETHANY,2009,1074.55,96.0,15045677.0,True
BETHANY,2010,1039.59,98.69999999999999,15467143.0,True
BETHANY,2011,1014.45,91.99999999999999,15340874.0,True
BETHANY,2012,973.53,90.0,15411290.0,True
BETHANY,2013,943.59,92.19999999999999,15599595.0,True
BETHANY,2014,914.19,89.89999999999999,15923151.0,True
BETHANY,2015,884.97,79.69999999999999,16405008.0,False
BETHANY,2016,840.69,77.89999999999999,16698230.0,False
BETHEL,2007,3231.5,462.69999999999993,36050621.0,False
BETHEL,2008,3158.07,469.7,46027926.0,False
BETHEL,2009,3102.17,475.6,39762463.0,False
BETHEL,2010,3061.31,475.20000000000005,38917838.0,False
BETHEL,2011,2953.22,475.40000000000003,39878864.0,False
BETHEL,2012,2962.34,467.7,42185635.0,False
BETHEL,2013,2962.07,465.0,44246629.0,False
BETHEL,2014,2946.04,467.4,46384500.0,False
BETHEL,2015,2879.53,456.59999999999997,46517348.0,False
BETHEL,2016,2930.31,459.20000000000005,48105825.0,False
BLOOMFIELD,2007,2700.61,493.79999999999995,36494139.0,False
BLOOMFIELD,2008,2628.6,489.4,45243647.0,False
BLOOMFIELD,2009,2556.5,494.3,40453351.0,False
BLOOMFIELD,2010,2529.41,526.0,40445920.0,False
BLOOMFIELD,2011,2407.11,489.3,40609912.0,False
BLOOMFIELD,2012,2374.3,490.00000000000006,41407469.0,False
BLOOMFIELD,2013,2260.5,467.5,40980883.0,False
BLOOMFIELD,2014,2186.57,483.0,42708097.0,False
BLOOMFIELD,2015,2244.11,472.3,42712016.0,False
BLOOMFIELD,2016,2238.29,451.2,43740001.0,False
BOLTON,2007,921.26,160.7,11395676.0,False
BOLTON,2008,868.56,164.6,15385286.0,False
BOLTON,2009,843.82,164.6,12675559.0,False
BOLTON,2010,839.24,162.4,12866459.0,False
BOLTON,2011,829.15,155.9,13011924.0,False
BOLTON,2012,828.2899999999997,160.89999999999998,13711064.0,False
BOLTON,2013,815.35,165.2,14080200.0,False
BOLTON,2014,803.26,163.39999999999998,14500226.0,False
BOLTON,2015,778.58,165.1,14768355.0,False
BOLTON,2016,759.1799999999997,161.39999999999998,14696498.0,False
BOZRAH,2007,391.13,53.8,4439958.0,True
BOZRAH,2008,391.58,50.8,4998002.0,True
BOZRAH,2009,391.67,44.5,5320790.0,True
BOZRAH,2010,387.81,46.9,5370163.0,True
BOZRAH,2011,356.91,44.2,5546367.0,True
BOZRAH,2012,349.75,42.7,5548197.0,True
BOZRAH,2013,342.71,45.4,5670995.0,True
BOZRAH,2014,345.04,47.7,5831304.0,True
BOZRAH,2015,313.89,45.2,5857043.0,True
BOZRAH,2016,307.7,45.7,5925910.0,True
BRANFORD,2007,3650.43,564.4,45013856.0,False
BRANFORD,2008,3536.5,568.3,60571587.0,False
BRANFORD,2009,3536.87,578.8,49602424.0,False
BRANFORD,2010,3581.27,583.0,50550551.0,False
BRANFORD,2011,3488.31,565.8000000000001,52066037.0,False
BRANFORD,2012,3393.42,567.6,54721423.0,False
BRANFORD,2013,3353.78,572.3000000000001,56100841.0,False
BRANFORD,2014,3315.73,670.6,57742288.0,False
BRANFORD,2015,3183.23,700.5999999999999,57416360.0,False
BRANFORD,2016,3121.52,296.7,59226125.0,True
BRIDGEPORT,2007,22224.65,2854.1,211764417.0,False
BRIDGEPORT,2008,21801.84,2910.5,218222813.0,False
BRIDGEPORT,2009,21288.93,2977.7999999999997,222867074.0,False
BRIDGEPORT,2010,21022.7,3011.3,205130582.0,False
BRIDGEPORT,2011,20949.07,2980.2000000000003,229559379.0,False
BRIDGEPORT,2012,20870.82,2883.5,259297544.0,False
BRIDGEPORT,2013,20484.53,2811.1000000000004,261470234.0,False
BRIDGEPORT,2014,21008.02,2864.0,267927607.0,False
BRIDGEPORT,2015,21095.81,2968.9999999999995,264104051.0,False
BRIDGEPORT,2016,20945.51,3157.8999999999996,273774169.0,False
BRISTOL,2007,9121.540000000005,1247.1000000000001,87131000.0,False
BRISTOL,2008,9040.16,1258.2,121810000.0,False
BRISTOL,2009,8913.78,1244.5,96364000.0,False
BRISTOL,2010,8783.64,1238.3,95615000.0,False
BRISTOL,2011,8760.049999999997,1218.6000000000001,96785000.0,False
BRISTOL,2012,8636.53,1213.8000000000002,100448000.0,False
BRISTOL,2013,8503.36,1195.7,98435000.0,False
BRISTOL,2014,8490.99,1188.8,102684000.0,False
BRISTOL,2015,8452.27,1230.2,104561451.0,False
BRISTOL,2016,8392.78,1228.4,105974983.0,False
BROOKFIELD,2007,3066.44,445.49999999999994,34316860.0,False
BROOKFIELD,2008,2991.2,443.59999999999997,45501772.0,False
BROOKFIELD,2009,3029.69,435.8,37278699.0,False
BROOKFIELD,2010,2988.01,374.70000000000005,36461447.0,False
BROOKFIELD,2011,2939.81,433.90000000000003,38063564.0,False
BROOKFIELD,2012,2904.83,436.0,39846302.0,False
BROOKFIELD,2013,2836.39,434.5,41347563.0,False
BROOKFIELD,2014,2826.29,432.29999999999995,42881832.0,False
BROOKFIELD,2015,2756.13,430.4,43046911.0,False
BROOKFIELD,2016,2731.36,428.6,44101873.0,False
BROOKLYN,2007,1373.55,151.1,14303377.0,False
BROOKLYN,2008,1349.13,147.4,15351712.0,False
BROOKLYN,2009,1314.52,157.1,16034423.0,False
BROOKLYN,2010,1312.93,152.50000000000003,16296384.0,False
BROOKLYN,2011,1285.65,142.70000000000002,16379323.0,False
BROOKLYN,2012,1264.51,99.89999999999999,16973810.0,False
